,VEGFA,FGF1,Cluster
TCGA-L9-A7SV-01A-11R-A39D-07,8.456231427407815,1.1780364378230963,1
TCGA-75-6206-01A-11R-1755-07,7.80219373124869,2.136131727132849,1
TCGA-MP-A4TK-01A-11R-A24X-07,8.817109854909901,3.072159863398771,1
TCGA-55-7914-01A-11R-2170-07,8.292564796631046,1.8481668672683047,1
TCGA-44-7667-01A-31R-2066-07,5.27898390006117,1.3018255446094436,1
TCGA-97-7547-01A-11R-2039-07,6.052623459536252,0.5302212488114778,1
TCGA-95-8039-01A-11R-2241-07,6.9153610503886735,1.2928469515905254,1
TCGA-55-7727-01A-11R-2170-07,7.451563415310797,0.8964303075204063,1
TCGA-55-6982-01A-11R-1949-07,7.041070509102276,2.3610261390206646,1
TCGA-MP-A4TJ-01A-51R-A262-07,7.487532597118713,0.9038228818269,1
TCGA-67-6217-01A-11R-1755-07,6.356217233068435,0.9891534160144246,1
TCGA-55-8091-01A-11R-2241-07,6.771152554407204,4.597748909056204,0
TCGA-62-8402-01A-11R-2326-07,8.62355236864203,0.2399458130206486,1
TCGA-97-A4M6-01A-11R-A24X-07,6.157245937611037,2.2273553684521907,1
TCGA-86-A4P7-01A-11R-A24X-07,8.044866623490853,1.3222694986711023,1
TCGA-53-7626-01A-12R-2066-07,6.661572158745916,1.7036877303410027,1
TCGA-55-8208-01A-11R-2241-07,8.026476101276526,2.1415889556211667,1
TCGA-97-7546-01A-11R-2039-07,6.405875975846738,2.592143532813848,1
TCGA-97-8171-01A-11R-2287-07,8.678704770191562,0.5354541881348026,1
TCGA-05-5429-01A-01R-1628-07,6.884117813444749,1.363408316421204,1
TCGA-50-6595-01A-12R-1858-07,7.972244954666015,2.1902174170973923,1
TCGA-78-7163-01A-12R-2066-07,5.793114000296597,4.967675828075276,0
TCGA-86-8074-01A-11R-2241-07,8.13119063336964,2.9320682230246438,1
TCGA-50-5933-01A-11R-1755-07,9.104919707570314,3.006112876923066,1
TCGA-91-6847-01A-11R-1949-07,7.470046945005518,2.6735445160106965,1
TCGA-38-6178-01A-11R-1755-07,6.954164684474193,2.2367777102632607,1
TCGA-44-2665-01B-06R-A277-07,7.930778738836174,5.624153010564595,0
TCGA-86-8076-01A-31R-2241-07,6.090529260078535,1.3016991339365722,1
TCGA-64-5774-01A-01R-1628-07,8.029186030671584,1.8955676642321493,1
TCGA-44-A47B-01A-11R-A24H-07,8.904065397391394,1.2400082100080003,1
TCGA-97-7553-01A-21R-2039-07,6.67841674524588,1.035454315994154,1
TCGA-97-A4M3-01A-11R-A24X-07,8.783534688352905,1.6746989603200977,1
TCGA-50-5045-01A-01R-1628-07,7.303909794346827,2.7543115322418115,1
TCGA-44-2657-01A-01R-1107-07,6.085553700864643,1.312141865201501,1
TCGA-05-4390-01A-02R-1755-07,6.738648573156024,1.4884728947408898,1
TCGA-93-7347-01A-11R-2187-07,5.530727402741953,2.1581807577460084,1
TCGA-55-6970-01A-11R-1949-07,7.004860738396198,1.3709296909513786,1
TCGA-49-6767-01A-11R-1858-07,6.144757407933934,1.7648145440678769,1
TCGA-78-7155-01A-11R-2039-07,5.5858418781610455,0.2632534147796156,1
TCGA-44-2655-01A-01R-0946-07,5.227279031036931,3.351278017383385,0
TCGA-44-3918-01A-01R-1107-07,8.704548086866934,2.3064089197186406,1
TCGA-55-A4DG-01A-11R-A24H-07,7.204273820581832,0.6714991698168575,1
TCGA-62-A46P-01A-11R-A24H-07,7.6447563744521725,0.4631460885376058,1
TCGA-49-AAR3-01A-11R-A41B-07,6.551650745980403,1.7405495454451374,1
TCGA-05-4433-01A-22R-1858-07,5.721077564631992,0.7198353686903515,1
TCGA-91-6830-01A-11R-1949-07,6.840692213906615,2.2476615673096254,1
TCGA-86-7701-01A-11R-2170-07,6.312280275262658,1.3868490168974466,1
TCGA-49-6742-01A-11R-1858-07,5.529602354987391,0.4773843906756608,1
TCGA-55-8094-01A-11R-2241-07,7.140151763578763,0.710363374698505,1
TCGA-44-6775-01A-11R-1858-07,6.934203484915419,3.735146880732192,0
TCGA-05-4398-01A-01R-1206-07,9.249764663805196,1.5266347510853415,1
TCGA-69-7765-01A-11R-2170-07,8.578038700482217,2.5409068183716035,1
TCGA-HT-7873-01B-11R-2403-07,4.616568566159509,6.135423123282918,0
TCGA-QH-A6XC-01A-12R-A32Q-07,5.366177780013039,6.494344463143545,0
TCGA-HT-7485-01A-11R-2027-07,3.1942496844445154,7.123579270276731,0
TCGA-P5-A730-01A-11R-A32Q-07,5.703865267898168,5.973821385312916,0
TCGA-HT-7693-01A-11R-2256-07,8.855382532773733,5.707852950141668,0
TCGA-HW-7489-01A-11R-2027-07,3.592587808675378,6.256074290664444,0
TCGA-TQ-A7RH-01A-12R-A34F-07,4.788527411874999,6.480689555288874,0
TCGA-TM-A7CF-02A-11R-A32Q-07,4.799458869708233,7.556749145237567,0
TCGA-HT-7880-01A-11R-2403-07,5.120816523272307,8.068403245891588,0
TCGA-HT-7858-01A-11R-2403-07,5.0524092867027965,7.039724259156218,0
TCGA-HT-7694-01A-11R-2256-07,4.303832327481867,7.72936657771143,0
